filename,0_anomaly,0_cluster,0_cluster_length,0_cluster_height,0_cluster_gradient_tr,0_cluster_gradient_tl,3_anomaly,3_cluster,3_cluster_length,3_cluster_height,3_cluster_gradient_tr,3_cluster_gradient_tl,1_anomaly,1_cluster,1_cluster_length,1_cluster_height,1_cluster_gradient_tr,1_cluster_gradient_tl,4_anomaly,4_cluster,4_cluster_length,4_cluster_height,4_cluster_gradient_tr,4_cluster_gradient_tl,2_anomaly,2_cluster,2_cluster_length,2_cluster_height,2_cluster_gradient_tr,2_cluster_gradient_tl,11_anomaly,11_cluster,11_cluster_length,11_cluster_height,11_cluster_gradient_tr,11_cluster_gradient_tl,7_anomaly,7_cluster,7_cluster_length,7_cluster_height,7_cluster_gradient_tr,7_cluster_gradient_tl,10_anomaly,10_cluster,10_cluster_length,10_cluster_height,10_cluster_gradient_tr,10_cluster_gradient_tl,12_anomaly,12_cluster,12_cluster_length,12_cluster_height,12_cluster_gradient_tr,12_cluster_gradient_tl,5_anomaly,5_cluster,5_cluster_length,5_cluster_height,5_cluster_gradient_tr,5_cluster_gradient_tl,9_anomaly,9_cluster,9_cluster_length,9_cluster_height,9_cluster_gradient_tr,9_cluster_gradient_tl,6_anomaly,6_cluster,6_cluster_length,6_cluster_height,6_cluster_gradient_tr,6_cluster_gradient_tl,8_anomaly,8_cluster,8_cluster_length,8_cluster_height,8_cluster_gradient_tr,8_cluster_gradient_tl,16_anomaly,16_cluster,16_cluster_length,16_cluster_height,16_cluster_gradient_tr,16_cluster_gradient_tl,24_anomaly,24_cluster,24_cluster_length,24_cluster_height,24_cluster_gradient_tr,24_cluster_gradient_tl,19_anomaly,19_cluster,19_cluster_length,19_cluster_height,19_cluster_gradient_tr,19_cluster_gradient_tl,26_anomaly,26_cluster,26_cluster_length,26_cluster_height,26_cluster_gradient_tr,26_cluster_gradient_tl,21_anomaly,21_cluster,21_cluster_length,21_cluster_height,21_cluster_gradient_tr,21_cluster_gradient_tl,15_anomaly,15_cluster,15_cluster_length,15_cluster_height,15_cluster_gradient_tr,15_cluster_gradient_tl,14_anomaly,14_cluster,14_cluster_length,14_cluster_height,14_cluster_gradient_tr,14_cluster_gradient_tl,17_anomaly,17_cluster,17_cluster_length,17_cluster_height,17_cluster_gradient_tr,17_cluster_gradient_tl,18_anomaly,18_cluster,18_cluster_length,18_cluster_height,18_cluster_gradient_tr,18_cluster_gradient_tl,20_anomaly,20_cluster,20_cluster_length,20_cluster_height,20_cluster_gradient_tr,20_cluster_gradient_tl,25_anomaly,25_cluster,25_cluster_length,25_cluster_height,25_cluster_gradient_tr,25_cluster_gradient_tl,22_anomaly,22_cluster,22_cluster_length,22_cluster_height,22_cluster_gradient_tr,22_cluster_gradient_tl,13_anomaly,13_cluster,13_cluster_length,13_cluster_height,13_cluster_gradient_tr,13_cluster_gradient_tl,23_anomaly,23_cluster,23_cluster_length,23_cluster_height,23_cluster_gradient_tr,23_cluster_gradient_tl,30_anomaly,30_cluster,30_cluster_length,30_cluster_height,30_cluster_gradient_tr,30_cluster_gradient_tl,35_anomaly,35_cluster,35_cluster_length,35_cluster_height,35_cluster_gradient_tr,35_cluster_gradient_tl,32_anomaly,32_cluster,32_cluster_length,32_cluster_height,32_cluster_gradient_tr,32_cluster_gradient_tl,29_anomaly,29_cluster,29_cluster_length,29_cluster_height,29_cluster_gradient_tr,29_cluster_gradient_tl,31_anomaly,31_cluster,31_cluster_length,31_cluster_height,31_cluster_gradient_tr,31_cluster_gradient_tl,33_anomaly,33_cluster,33_cluster_length,33_cluster_height,33_cluster_gradient_tr,33_cluster_gradient_tl,28_anomaly,28_cluster,28_cluster_length,28_cluster_height,28_cluster_gradient_tr,28_cluster_gradient_tl,27_anomaly,27_cluster,27_cluster_length,27_cluster_height,27_cluster_gradient_tr,27_cluster_gradient_tl,36_anomaly,36_cluster,36_cluster_length,36_cluster_height,36_cluster_gradient_tr,36_cluster_gradient_tl,37_anomaly,37_cluster,37_cluster_length,37_cluster_height,37_cluster_gradient_tr,37_cluster_gradient_tl,34_anomaly,34_cluster,34_cluster_length,34_cluster_height,34_cluster_gradient_tr,34_cluster_gradient_tl,38_anomaly,38_cluster,38_cluster_length,38_cluster_height,38_cluster_gradient_tr,38_cluster_gradient_tl,39_anomaly,39_cluster,39_cluster_length,39_cluster_height,39_cluster_gradient_tr,39_cluster_gradient_tl,46_anomaly,46_cluster,46_cluster_length,46_cluster_height,46_cluster_gradient_tr,46_cluster_gradient_tl,42_anomaly,42_cluster,42_cluster_length,42_cluster_height,42_cluster_gradient_tr,42_cluster_gradient_tl,45_anomaly,45_cluster,45_cluster_length,45_cluster_height,45_cluster_gradient_tr,45_cluster_gradient_tl,41_anomaly,41_cluster,41_cluster_length,41_cluster_height,41_cluster_gradient_tr,41_cluster_gradient_tl,40_anomaly,40_cluster,40_cluster_length,40_cluster_height,40_cluster_gradient_tr,40_cluster_gradient_tl,44_anomaly,44_cluster,44_cluster_length,44_cluster_height,44_cluster_gradient_tr,44_cluster_gradient_tl,47_anomaly,47_cluster,47_cluster_length,47_cluster_height,47_cluster_gradient_tr,47_cluster_gradient_tl,43_anomaly,43_cluster,43_cluster_length,43_cluster_height,43_cluster_gradient_tr,43_cluster_gradient_tl
1047582.js,1.0,0,60.0,0.5,0.008333333333333333,-0.008333333333333333,1.0,3.0,42.0,0.25,0.005952380952380952,-0.005952380952380952,1.0,1,15.0,0.25,0.016666666666666666,-0.016666666666666666,1.0,4.0,30.0,0.5,0.016666666666666666,-0.016666666666666666,1.0,2.0,81.0,11.25,0.1388888888888889,-0.1388888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051807.js,1.0,0,17.0,2.0,0.11764705882352941,-0.11764705882352941,1.0,3.0,10.0,2.25,0.225,-0.225,1.0,1,6.0,8.0,1.3333333333333333,-1.3333333333333333,1.0,4.0,15.0,0.25,0.016666666666666666,-0.016666666666666666,1.0,2.0,6.0,8.0,1.3333333333333333,-1.3333333333333333,1.0,11.0,26.0,2.0,0.07692307692307693,-0.07692307692307693,1.0,7.0,11.0,9.0,0.8181818181818182,-0.8181818181818182,1.0,10.0,15.0,2.0,0.13333333333333333,-0.13333333333333333,1.0,12.0,10.0,0.75,0.075,-0.075,1.0,5.0,12.0,0.5,0.041666666666666664,-0.041666666666666664,1.0,9.0,21.0,0.75,0.03571428571428571,-0.03571428571428571,1.0,6.0,10.0,1.5,0.15,-0.15,1.0,8.0,9.0,9.5,1.0555555555555556,-1.0555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054130.js,1.0,0,52.0,17.5,0.33653846153846156,-0.33653846153846156,,,,,,,1.0,1,98.0,14.5,0.14795918367346939,-0.14795918367346939,,,,,,,1.0,2.0,39.0,15.0,0.38461538461538464,-0.38461538461538464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056759.js,1.0,0,144.0,1.75,0.012152777777777778,-0.012152777777777778,,,,,,,1.0,1,214.0,1.75,0.008177570093457943,-0.008177570093457943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136583.js,1.0,0,109.0,3.25,0.02981651376146789,-0.02981651376146789,,,,,,,1.0,1,248.0,3.0,0.012096774193548387,-0.012096774193548387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161850.js,1.0,0,359.0,3.0,0.008356545961002786,-0.008356545961002786,,,,,,,1.0,1,2.0,1.75,0.875,-0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167250.js,1.0,0,171.0,24.5,0.14327485380116958,-0.14327485380116958,1.0,3.0,14.0,0.5,0.03571428571428571,-0.03571428571428571,1.0,1,26.0,1.0,0.038461538461538464,-0.038461538461538464,,,,,,,1.0,2.0,106.0,30.75,0.29009433962264153,-0.29009433962264153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194291.js,1.0,0,70.0,14.5,0.20714285714285716,-0.20714285714285716,1.0,3.0,16.0,1.5,0.09375,-0.09375,1.0,1,30.0,1.0,0.03333333333333333,-0.03333333333333333,1.0,4.0,92.0,18.0,0.1956521739130435,-0.1956521739130435,1.0,2.0,24.0,6.75,0.28125,-0.28125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220019.js,1.0,0,46.0,4.75,0.10326086956521739,-0.10326086956521739,1.0,3.0,15.0,0.75,0.05,-0.05,1.0,1,4.0,0.75,0.1875,-0.1875,1.0,4.0,24.0,1.25,0.052083333333333336,-0.052083333333333336,1.0,2.0,33.0,4.5,0.13636363636363635,-0.13636363636363635,,,,,,,1.0,7.0,21.0,1.0,0.047619047619047616,-0.047619047619047616,,,,,,,,,,,,,1.0,5.0,11.0,1.0,0.09090909090909091,-0.09090909090909091,,,,,,,1.0,6.0,14.0,0.25,0.017857142857142856,-0.017857142857142856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313587.js,1.0,0,36.0,1.25,0.034722222222222224,-0.034722222222222224,1.0,3.0,26.0,1.75,0.0673076923076923,-0.0673076923076923,1.0,1,13.0,1.5,0.11538461538461539,-0.11538461538461539,1.0,4.0,13.0,4.5,0.34615384615384615,-0.34615384615384615,1.0,2.0,30.0,4.0,0.13333333333333333,-0.13333333333333333,,,,,,,1.0,7.0,98.0,6.75,0.06887755102040816,-0.06887755102040816,,,,,,,,,,,,,1.0,5.0,58.0,7.0,0.1206896551724138,-0.1206896551724138,,,,,,,1.0,6.0,6.0,4.0,0.6666666666666666,-0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
