filename,-1_anomaly,-1_cluster,-1_bucket,-1_filtered,-1_cluster_length,-1_cluster_height,-1_cluster_gradient_tr,-1_cluster_gradient_tl,0_anomaly,0_cluster,0_bucket,0_filtered,0_cluster_length,0_cluster_height,0_cluster_gradient_tr,0_cluster_gradient_tl,4_anomaly,4_cluster,4_bucket,4_filtered,4_cluster_length,4_cluster_height,4_cluster_gradient_tr,4_cluster_gradient_tl,5_anomaly,5_cluster,5_bucket,5_filtered,5_cluster_length,5_cluster_height,5_cluster_gradient_tr,5_cluster_gradient_tl,1_anomaly,1_cluster,1_bucket,1_filtered,1_cluster_length,1_cluster_height,1_cluster_gradient_tr,1_cluster_gradient_tl,2_anomaly,2_cluster,2_bucket,2_filtered,2_cluster_length,2_cluster_height,2_cluster_gradient_tr,2_cluster_gradient_tl,3_anomaly,3_cluster,3_bucket,3_filtered,3_cluster_length,3_cluster_height,3_cluster_gradient_tr,3_cluster_gradient_tl,6_anomaly,6_cluster,6_bucket,6_filtered,6_cluster_length,6_cluster_height,6_cluster_gradient_tr,6_cluster_gradient_tl,7_anomaly,7_cluster,7_bucket,7_filtered,7_cluster_length,7_cluster_height,7_cluster_gradient_tr,7_cluster_gradient_tl,8_anomaly,8_cluster,8_bucket,8_filtered,8_cluster_length,8_cluster_height,8_cluster_gradient_tr,8_cluster_gradient_tl,9_anomaly,9_cluster,9_bucket,9_filtered,9_cluster_length,9_cluster_height,9_cluster_gradient_tr,9_cluster_gradient_tl,10_anomaly,10_cluster,10_bucket,10_filtered,10_cluster_length,10_cluster_height,10_cluster_gradient_tr,10_cluster_gradient_tl,12_anomaly,12_cluster,12_bucket,12_filtered,12_cluster_length,12_cluster_height,12_cluster_gradient_tr,12_cluster_gradient_tl,11_anomaly,11_cluster,11_bucket,11_filtered,11_cluster_length,11_cluster_height,11_cluster_gradient_tr,11_cluster_gradient_tl,13_anomaly,13_cluster,13_bucket,13_filtered,13_cluster_length,13_cluster_height,13_cluster_gradient_tr,13_cluster_gradient_tl,14_anomaly,14_cluster,14_bucket,14_filtered,14_cluster_length,14_cluster_height,14_cluster_gradient_tr,14_cluster_gradient_tl
1047582.js,1.0,-1.0,26.0,True,,,,,1.0,0,35.0,True,,,,,1.0,4.0,2.0,True,,,,,1.0,5.0,6.0,True,,,,,1.0,1.0,0.0,True,,,,,1.0,2.0,27.0,True,,,,,1.0,3.0,24.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051807.js,1.0,-1.0,25.0,True,,,,,1.0,0,35.0,True,6.0,8.0,1.3333333333333333,-1.3333333333333333,1.0,4.0,15.0,True,10.0,2.0,0.2,-0.2,1.0,5.0,33.0,True,7.0,2.0,0.2857142857142857,-0.2857142857142857,1.0,1.0,17.0,True,8.0,2.0,0.25,-0.25,1.0,2.0,29.0,True,,,,,1.0,3.0,1.0,True,8.0,1.25,0.15625,-0.15625,1.0,6.0,21.0,True,,,,,1.0,7.0,7.0,True,,,,,1.0,8.0,9.0,True,5.0,1.5,0.3,-0.3,1.0,9.0,27.0,True,6.0,2.25,0.375,-0.375,1.0,10.0,2.0,True,,,,,1.0,12.0,5.0,True,,,,,1.0,11.0,19.0,True,,,,,1.0,13.0,3.0,True,,,,,,,,,,,,
1054130.js,,,,,,,,,1.0,0,21.0,True,98.0,14.5,0.14795918367346939,-0.14795918367346939,,,,,,,,,,,,,,,,,1.0,1.0,33.0,True,39.0,15.0,0.38461538461538464,-0.38461538461538464,1.0,2.0,3.0,True,52.0,13.0,0.25,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056759.js,1.0,-1.0,21.0,True,,,,,1.0,0,20.0,True,359.0,2.75,0.00766016713091922,-0.00766016713091922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136583.js,,,,,,,,,1.0,0,35.0,True,359.0,4.75,0.013231197771587743,-0.013231197771587743,,,,,,,,,,,,,,,,,1.0,1.0,23.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161850.js,,,,,,,,,1.0,0,23.0,True,359.0,4.5,0.012534818941504178,-0.012534818941504178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167250.js,1.0,-1.0,18.0,True,,,,,1.0,0,13.0,True,66.0,20.5,0.3106060606060606,-0.3106060606060606,,,,,,,,,,,,,,,,,1.0,1.0,26.0,True,89.0,30.0,0.33707865168539325,-0.33707865168539325,1.0,2.0,29.0,True,6.0,1.0,0.16666666666666666,-0.16666666666666666,1.0,3.0,34.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194291.js,1.0,-1.0,10.0,True,,,,,1.0,0,16.0,True,,,,,1.0,4.0,6.0,True,,,,,1.0,5.0,8.0,True,,,,,1.0,1.0,2.0,True,,,,,1.0,2.0,29.0,True,,,,,1.0,3.0,27.0,True,,,,,1.0,6.0,20.0,True,,,,,1.0,7.0,12.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220019.js,1.0,-1.0,5.0,True,,,,,1.0,0,30.0,True,33.0,4.5,0.13636363636363635,-0.13636363636363635,1.0,4.0,0.0,True,,,,,1.0,5.0,4.0,True,,,,,1.0,1.0,9.0,True,38.0,4.75,0.125,-0.125,1.0,2.0,20.0,True,13.0,1.25,0.09615384615384616,-0.09615384615384616,1.0,3.0,3.0,True,,,,,1.0,6.0,31.0,True,,,,,1.0,7.0,24.0,True,8.0,1.0,0.125,-0.125,1.0,8.0,6.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313587.js,1.0,-1.0,12.0,True,,,,,1.0,0,34.0,True,25.0,4.0,0.16,-0.16,1.0,4.0,4.0,True,61.0,7.0,0.11475409836065574,-0.11475409836065574,1.0,5.0,10.0,True,9.0,1.25,0.1388888888888889,-0.1388888888888889,1.0,1.0,8.0,True,,,,,1.0,2.0,14.0,True,,,,,1.0,3.0,29.0,True,,,,,1.0,6.0,26.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
