filename,0_anomaly,0_cluster,0_cluster_length,0_cluster_height,0_cluster_gradient_tr,0_cluster_gradient_tl,4_anomaly,4_cluster,4_cluster_length,4_cluster_height,4_cluster_gradient_tr,4_cluster_gradient_tl,5_anomaly,5_cluster,5_cluster_length,5_cluster_height,5_cluster_gradient_tr,5_cluster_gradient_tl,1_anomaly,1_cluster,1_cluster_length,1_cluster_height,1_cluster_gradient_tr,1_cluster_gradient_tl,2_anomaly,2_cluster,2_cluster_length,2_cluster_height,2_cluster_gradient_tr,2_cluster_gradient_tl,3_anomaly,3_cluster,3_cluster_length,3_cluster_height,3_cluster_gradient_tr,3_cluster_gradient_tl,6_anomaly,6_cluster,6_cluster_length,6_cluster_height,6_cluster_gradient_tr,6_cluster_gradient_tl,7_anomaly,7_cluster,7_cluster_length,7_cluster_height,7_cluster_gradient_tr,7_cluster_gradient_tl,8_anomaly,8_cluster,8_cluster_length,8_cluster_height,8_cluster_gradient_tr,8_cluster_gradient_tl,9_anomaly,9_cluster,9_cluster_length,9_cluster_height,9_cluster_gradient_tr,9_cluster_gradient_tl,10_anomaly,10_cluster,10_cluster_length,10_cluster_height,10_cluster_gradient_tr,10_cluster_gradient_tl,12_anomaly,12_cluster,12_cluster_length,12_cluster_height,12_cluster_gradient_tr,12_cluster_gradient_tl,11_anomaly,11_cluster,11_cluster_length,11_cluster_height,11_cluster_gradient_tr,11_cluster_gradient_tl,13_anomaly,13_cluster,13_cluster_length,13_cluster_height,13_cluster_gradient_tr,13_cluster_gradient_tl,14_anomaly,14_cluster,14_cluster_length,14_cluster_height,14_cluster_gradient_tr,14_cluster_gradient_tl
1047582.js,1.0,0,15.0,0.25,0.016666666666666666,-0.016666666666666666,1.0,4.0,60.0,0.5,0.008333333333333333,-0.008333333333333333,1.0,5.0,60.0,0.5,0.008333333333333333,-0.008333333333333333,1.0,1.0,60.0,0.5,0.008333333333333333,-0.008333333333333333,1.0,2.0,81.0,11.25,0.1388888888888889,-0.1388888888888889,1.0,3.0,81.0,11.25,0.1388888888888889,-0.1388888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051807.js,1.0,0,5.0,4.75,0.95,-0.95,1.0,4.0,15.0,2.0,0.13333333333333333,-0.13333333333333333,1.0,5.0,17.0,2.0,0.11764705882352941,-0.11764705882352941,1.0,1.0,26.0,2.0,0.07692307692307693,-0.07692307692307693,1.0,2.0,15.0,0.25,0.016666666666666666,-0.016666666666666666,1.0,3.0,11.0,9.0,0.8181818181818182,-0.8181818181818182,1.0,6.0,10.0,0.75,0.075,-0.075,1.0,7.0,12.0,0.5,0.041666666666666664,-0.041666666666666664,1.0,8.0,10.0,1.5,0.15,-0.15,1.0,9.0,10.0,2.25,0.225,-0.225,1.0,10.0,11.0,9.0,0.8181818181818182,-0.8181818181818182,1.0,12.0,,,,,1.0,11.0,,,,,1.0,13.0,9.0,9.5,1.0555555555555556,-1.0555555555555556,,,,,,
1054130.js,1.0,0,98.0,14.5,0.14795918367346939,-0.14795918367346939,,,,,,,,,,,,,1.0,1.0,39.0,15.0,0.38461538461538464,-0.38461538461538464,1.0,2.0,52.0,17.5,0.33653846153846156,-0.33653846153846156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056759.js,1.0,0,214.0,1.75,0.008177570093457943,-0.008177570093457943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136583.js,1.0,0,248.0,3.0,0.012096774193548387,-0.012096774193548387,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161850.js,1.0,0,359.0,3.0,0.008356545961002786,-0.008356545961002786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167250.js,1.0,0,171.0,24.5,0.14327485380116958,-0.14327485380116958,,,,,,,,,,,,,1.0,1.0,106.0,30.75,0.29009433962264153,-0.29009433962264153,1.0,2.0,26.0,1.0,0.038461538461538464,-0.038461538461538464,1.0,3.0,14.0,0.5,0.03571428571428571,-0.03571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194291.js,1.0,0,24.0,6.75,0.28125,-0.28125,1.0,4.0,70.0,14.5,0.20714285714285716,-0.20714285714285716,1.0,5.0,70.0,14.5,0.20714285714285716,-0.20714285714285716,1.0,1.0,70.0,14.5,0.20714285714285716,-0.20714285714285716,1.0,2.0,16.0,1.5,0.09375,-0.09375,1.0,3.0,92.0,18.0,0.1956521739130435,-0.1956521739130435,1.0,6.0,92.0,18.0,0.1956521739130435,-0.1956521739130435,1.0,7.0,30.0,1.0,0.03333333333333333,-0.03333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220019.js,1.0,0,33.0,4.5,0.13636363636363635,-0.13636363636363635,1.0,4.0,15.0,0.75,0.05,-0.05,1.0,5.0,21.0,1.0,0.047619047619047616,-0.047619047619047616,1.0,1.0,46.0,4.75,0.10326086956521739,-0.10326086956521739,1.0,2.0,24.0,1.25,0.052083333333333336,-0.052083333333333336,1.0,3.0,21.0,1.0,0.047619047619047616,-0.047619047619047616,1.0,6.0,4.0,0.75,0.1875,-0.1875,1.0,7.0,11.0,1.0,0.09090909090909091,-0.09090909090909091,1.0,8.0,14.0,0.25,0.017857142857142856,-0.017857142857142856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313587.js,1.0,0,30.0,4.0,0.13333333333333333,-0.13333333333333333,1.0,4.0,58.0,7.0,0.1206896551724138,-0.1206896551724138,1.0,5.0,36.0,1.25,0.034722222222222224,-0.034722222222222224,1.0,1.0,36.0,1.25,0.034722222222222224,-0.034722222222222224,1.0,2.0,,,,,1.0,3.0,26.0,1.75,0.0673076923076923,-0.0673076923076923,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1416320.js,1.0,0,116.0,3.25,0.028017241379310345,-0.028017241379310345,,,,,,,,,,,,,1.0,1.0,32.0,2.5,0.078125,-0.078125,1.0,2.0,20.0,2.75,0.1375,-0.1375,1.0,3.0,12.0,1.75,0.14583333333333334,-0.14583333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1428713.js,1.0,0,168.0,15.0,0.08928571428571429,-0.08928571428571429,,,,,,,,,,,,,1.0,1.0,140.0,15.75,0.1125,-0.1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1436233.js,1.0,0,359.0,5.5,0.01532033426183844,-0.01532033426183844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463420.js,1.0,0,359.0,15.75,0.04387186629526462,-0.04387186629526462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486626.js,1.0,0,178.0,5.0,0.028089887640449437,-0.028089887640449437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
