filename,0_anomaly,0_cluster,0_cluster_length,0_cluster_height,0_cluster_gradient_tr,0_cluster_gradient_tl
1047582.js,1.0,0,60.0,0.5,0.008333333333333333,-0.008333333333333333
1051807.js,1.0,0,17.0,2.0,0.11764705882352941,-0.11764705882352941
1054130.js,1.0,0,52.0,17.5,0.33653846153846156,-0.33653846153846156
1056759.js,1.0,0,144.0,1.75,0.012152777777777778,-0.012152777777777778
1136583.js,1.0,0,109.0,3.25,0.02981651376146789,-0.02981651376146789
1161850.js,1.0,0,359.0,3.0,0.008356545961002786,-0.008356545961002786
1167250.js,1.0,0,171.0,24.5,0.14327485380116958,-0.14327485380116958
1194291.js,1.0,0,70.0,14.5,0.20714285714285716,-0.20714285714285716
1220019.js,1.0,0,46.0,4.75,0.10326086956521739,-0.10326086956521739
1313587.js,1.0,0,36.0,1.25,0.034722222222222224,-0.034722222222222224
1416320.js,1.0,0,22.0,3.0,0.13636363636363635,-0.13636363636363635
1428713.js,1.0,0,140.0,15.75,0.1125,-0.1125
1436233.js,1.0,0,2.0,2.25,1.125,-1.125
1463420.js,1.0,0,2.0,0.5,0.25,-0.25
1486626.js,1.0,0,179.0,5.0,0.027932960893854747,-0.027932960893854747
1494273.js,1.0,0,21.0,1.25,0.05952380952380952,-0.05952380952380952
1521771.js,1.0,0,11.0,1.5,0.13636363636363635,-0.13636363636363635
1001263.js,0.0,0,154.0,2.5,0.016233766233766232,-0.016233766233766232
1001948.js,0.0,0,115.0,1.25,0.010869565217391304,-0.010869565217391304
1007375.js,0.0,0,140.0,2.5,0.017857142857142856,-0.017857142857142856
1011083.js,0.0,0,59.0,2.25,0.038135593220338986,-0.038135593220338986
1015896.js,0.0,0,28.0,4.25,0.15178571428571427,-0.15178571428571427
1017547.js,0.0,0,7.0,1.75,0.25,-0.25
1018183.js,0.0,0,333.0,3.0,0.009009009009009009,-0.009009009009009009
1020314.js,0.0,0,118.0,1.5,0.012711864406779662,-0.012711864406779662
1025150.js,0.0,0,108.0,3.25,0.03009259259259259,-0.03009259259259259
1026615.js,0.0,0,29.0,0.5,0.017241379310344827,-0.017241379310344827
1027092.js,0.0,0,1.0,0.25,0.25,-0.25
1032494.js,0.0,0,281.0,1.75,0.006227758007117438,-0.006227758007117438
1034768.js,0.0,0,289.0,1.5,0.005190311418685121,-0.005190311418685121
1040048.js,0.0,0,73.0,3.0,0.0410958904109589,-0.0410958904109589
1044434.js,0.0,0,102.0,3.0,0.029411764705882353,-0.029411764705882353
1049661.js,0.0,0,6.0,1.0,0.16666666666666666,-0.16666666666666666
1055093.js,0.0,0,51.0,0.75,0.014705882352941176,-0.014705882352941176
1055262.js,0.0,0,22.0,2.0,0.09090909090909091,-0.09090909090909091
1059731.js,0.0,0,307.0,1.5,0.004885993485342019,-0.004885993485342019
1064265.js,0.0,0,176.0,2.75,0.015625,-0.015625
1085956.js,0.0,0,230.0,2.25,0.009782608695652175,-0.009782608695652175
1092996.js,0.0,0,15.0,2.0,0.13333333333333333,-0.13333333333333333
1159346.js,0.0,0,40.0,2.0,0.05,-0.05
1169150.js,0.0,0,195.0,1.25,0.00641025641025641,-0.00641025641025641
1169299.js,0.0,0,310.0,1.5,0.004838709677419355,-0.004838709677419355
1208807.js,0.0,0,317.0,2.5,0.007886435331230283,-0.007886435331230283
1230176.js,0.0,0,114.0,1.25,0.010964912280701754,-0.010964912280701754
1231244.js,0.0,0,3.0,0.5,0.16666666666666666,-0.16666666666666666
1238382.js,0.0,0,199.0,1.5,0.007537688442211055,-0.007537688442211055
1244284.js,0.0,0,110.0,0.25,0.0022727272727272726,-0.0022727272727272726
1275278.js,0.0,0,105.0,3.0,0.02857142857142857,-0.02857142857142857
1276920.js,0.0,0,144.0,1.25,0.008680555555555556,-0.008680555555555556
1283695.js,0.0,0,122.0,1.25,0.010245901639344262,-0.010245901639344262
1286123.js,0.0,0,31.0,0.75,0.024193548387096774,-0.024193548387096774
1293991.js,0.0,0,6.0,0.75,0.125,-0.125
3360562.js,0.0,0,24.0,0.25,0.010416666666666666,-0.010416666666666666
3404031.js,0.0,0,13.0,0.75,0.057692307692307696,-0.057692307692307696
3443249.js,0.0,0,310.0,2.0,0.0064516129032258064,-0.0064516129032258064
3486310.js,0.0,0,29.0,2.0,0.06896551724137931,-0.06896551724137931
3503921.js,0.0,0,242.0,2.5,0.010330578512396695,-0.010330578512396695
3668036.js,0.0,0,9.0,2.25,0.25,-0.25
3677714.js,0.0,0,8.0,1.5,0.1875,-0.1875
3787913.js,0.0,0,337.0,1.5,0.004451038575667656,-0.004451038575667656
3832344.js,0.0,0,1.0,0.25,0.25,-0.25
1029777.js,,0,6.0,0.5,0.08333333333333333,-0.08333333333333333
1089139.js,,0,0.0,0.5,inf,inf
1171468.js,,0,9.0,1.0,0.1111111111111111,-0.1111111111111111
1361888.js,,0,3.0,0.25,0.08333333333333333,-0.08333333333333333
1401413.js,,0,141.0,2.25,0.015957446808510637,-0.015957446808510637
